rank,person,telegram_username,telegram_messages,discord_username,discord_messages,x_posts,articles,videos,total,first,last,telegram_distinct_days,verified_activity_days_min,public_groups,identity_note,summary_tier,activity_summary
665,P,,22,,0,0,0,0,22,2022-09-08,2025-03-07,16,16,2,Telegram human account; Discord not individually inventoried,,
666,Pablo,@Lukham,22,,0,0,0,0,22,2021-11-14,2023-10-18,7,7,1,Telegram human account; Discord not individually inventoried,,
667,Paris.Sign 🧡 🦺 👀,@parissxs,22,,0,0,0,0,22,2025-02-20,2025-02-20,1,1,1,Telegram human account; Discord not individually inventoried,,
668,Rock _ never fade ceg,@rockcoin666,22,,0,0,0,0,22,2024-09-30,2024-10-26,6,6,1,Telegram human account; Discord not individually inventoried,,
669,taka taka🐾,@takahashi0121,22,,0,0,0,0,22,2024-11-03,2024-11-27,17,17,1,Telegram human account; Discord not individually inventoried,,
670,Tiz Steve,@tizsteve,22,,0,0,0,0,22,2023-05-17,2023-12-09,7,7,1,Telegram human account; Discord not individually inventoried,,
671,Twisted,@twistedminda,22,,0,0,0,0,22,2021-12-19,2021-12-19,1,1,1,Telegram human account; Discord not individually inventoried,,
672,Will,@firewill0x,22,,0,0,0,0,22,2021-11-12,2023-06-15,6,6,2,Telegram human account; Discord not individually inventoried,,
673,Alberto Hernandez,@Albertohm1,21,,0,0,0,0,21,2021-11-14,2022-11-17,6,6,2,Telegram human account; Discord not individually inventoried,,
674,ali,@thestraight,21,,0,0,0,0,21,2021-06-17,2021-10-26,2,2,1,Telegram human account; Discord not individually inventoried,,
675,Amin,@Aminbemani,21,,0,0,0,0,21,2022-11-01,2025-11-13,8,8,1,Telegram human account; Discord not individually inventoried,,
676,amir roosta,@Mojtabaacaterpillar,21,,0,0,0,0,21,2021-11-23,2021-11-28,4,4,2,Telegram human account; Discord not individually inventoried,,
677,Anon_exe,@Anon_exe,21,,0,0,0,0,21,2023-08-05,2023-10-06,3,3,1,Telegram human account; Discord not individually inventoried,,
678,Aʟı,@ikco_designer,21,,0,0,0,0,21,2023-04-10,2023-05-09,5,5,1,Telegram human account; Discord not individually inventoried,,
679,Cian,@mademindsetmafia,21,,0,0,0,0,21,2021-02-23,2021-03-08,3,3,1,Telegram human account; Discord not individually inventoried,,
680,GG,@noherm1,21,,0,0,0,0,21,2023-10-13,2024-02-14,4,4,1,Telegram human account; Discord not individually inventoried,,
681,Hees ℗,@Amd1925,21,,0,0,0,0,21,2024-01-21,2024-03-28,6,6,2,Telegram human account; Discord not individually inventoried,,
682,Jhonny,@Jhonny1828,21,,0,0,0,0,21,2024-07-29,2026-02-05,11,11,2,Telegram human account; Discord not individually inventoried,,
683,MiguelM,@roncito85,21,,0,0,0,0,21,2022-12-23,2023-01-21,7,7,1,Telegram human account; Discord not individually inventoried,,
684,veccar 9008,@veccar9008,21,,0,0,0,0,21,2021-02-03,2021-12-13,13,13,1,Telegram human account; Discord not individually inventoried,,
685,Филиппины Sam Travel,@sam_travel_ph,21,,0,0,0,0,21,2024-06-10,2024-06-10,1,1,1,Telegram human account; Discord not individually inventoried,,
686,‘,@InjHannibal,21,,0,0,0,0,21,2023-04-18,2024-07-28,8,8,2,Telegram human account; Discord not individually inventoried,,
687,A Anaya,@Cryptoadept25,20,,0,0,0,0,20,2021-11-15,2021-11-15,1,1,1,Telegram human account; Discord not individually inventoried,,
688,Ace,@acetz,20,,0,0,0,0,20,2024-02-19,2024-04-16,7,7,1,Telegram human account; Discord not individually inventoried,,
689,Ali Heydari,@ali_h100,20,,0,0,0,0,20,2021-08-28,2025-05-08,5,5,1,Telegram human account; Discord not individually inventoried,,
690,Atieh Adib,@Atiehadib,20,,0,0,0,0,20,2023-03-17,2026-05-29,11,11,2,Telegram human account; Discord not individually inventoried,,
691,Az,@Azaz_12,20,,0,0,0,0,20,2021-11-11,2025-01-20,8,8,2,Telegram human account; Discord not individually inventoried,,
692,Count,@Countalicious,20,,0,0,0,0,20,2021-12-17,2026-04-21,7,7,2,Telegram human account; Discord not individually inventoried,,
693,EUNICE Eunice,@Brookbyrin,20,,0,0,0,0,20,2023-04-03,2024-02-25,3,3,1,Telegram human account; Discord not individually inventoried,,
694,Future CM,@FutureCM,20,,0,0,0,0,20,2023-05-09,2023-05-23,2,2,1,Telegram human account; Discord not individually inventoried,,
695,Gado,,20,,0,0,0,0,20,2023-11-22,2023-11-23,2,2,1,Telegram human account; Discord not individually inventoried,,
696,Hossein. D,@Hossein7657,20,,0,0,0,0,20,2023-01-01,2023-02-03,5,5,1,Telegram human account; Discord not individually inventoried,,
697,IOANNIS KARASLIDIS,@K_IOANNIS,20,,0,0,0,0,20,2024-03-13,2024-03-22,5,5,1,Telegram human account; Discord not individually inventoried,,
698,Jayme,@Ahjiaaaaa,20,,0,0,0,0,20,2023-11-22,2023-11-22,1,1,1,Telegram human account; Discord not individually inventoried,,
699,Matt Drille,@mattdrille,20,,0,0,0,0,20,2021-10-08,2021-10-14,2,2,1,Telegram human account; Discord not individually inventoried,,
700,Michealgotthacurry$,@michealgotthacurry,20,,0,0,0,0,20,2023-12-13,2023-12-13,1,1,1,Telegram human account; Discord not individually inventoried,,
701,Paul James,@PaulJames2020,20,,0,0,0,0,20,2023-12-01,2023-12-13,4,4,1,Telegram human account; Discord not individually inventoried,,
702,Roy | Crypto Totaal,@CryptoTotaalRoy,20,,0,0,0,0,20,2024-11-08,2024-11-26,9,9,1,Telegram human account; Discord not individually inventoried,,
703,Xlufy .,@xlufy2003,20,,0,0,0,0,20,2024-01-11,2024-03-29,3,3,1,Telegram human account; Discord not individually inventoried,,
704,یونس جرگه زاده,@Uasna4554,20,,0,0,0,0,20,2023-11-21,2025-07-06,15,15,2,Telegram human account; Discord not individually inventoried,,
705,(っ◔◡◔)っ ♥ XXL ♥,@itssexyy,19,,0,0,0,0,19,2022-11-01,2022-12-02,3,3,1,Telegram human account; Discord not individually inventoried,,
706,. .,,19,,0,0,0,0,19,2022-11-02,2023-10-03,3,3,1,Telegram human account; Discord not individually inventoried,,
707,3X0PL4N3T3XPL0R3R,@xtrachizzy,19,,0,0,0,0,19,2023-03-27,2023-04-18,4,4,3,Telegram human account; Discord not individually inventoried,,
708,Bernard,@BernardBernard20,19,,0,0,0,0,19,2024-03-02,2024-03-06,3,3,1,Telegram human account; Discord not individually inventoried,,
709,Chi Tao,@ctmakes,19,,0,0,0,0,19,2025-03-06,2025-03-09,2,2,1,Telegram human account; Discord not individually inventoried,,
710,Dani,@D_S_R1,19,,0,0,0,0,19,2022-10-27,2022-11-09,5,5,1,Telegram human account; Discord not individually inventoried,,
711,DonaXbt ( Always verify on X ),@donaxbt,19,,0,0,0,0,19,2024-02-12,2024-02-12,1,1,1,Telegram human account; Discord not individually inventoried,,
712,El Swiss 🇨🇭🇱🇮,@EL_Glaskugel,19,,0,0,0,0,19,2023-05-03,2025-09-14,17,17,1,Telegram human account; Discord not individually inventoried,,
713,GerCryptonic,@GerCryptonic,19,,0,0,0,0,19,2022-08-24,2023-01-28,5,5,1,Telegram human account; Discord not individually inventoried,,
714,H0DL Crypto,@Gogo_Crypto_info,19,,0,0,0,0,19,2024-02-18,2024-02-18,1,1,1,Telegram human account; Discord not individually inventoried,,
715,Henry Tran,@henrytran2867,19,,0,0,0,0,19,2024-09-13,2024-09-13,1,1,1,Telegram human account; Discord not individually inventoried,,
716,Hypr,,19,,0,0,0,0,19,2025-03-15,2025-05-05,7,7,1,Telegram human account; Discord not individually inventoried,,
717,James 🐾 Baguley,,19,,0,0,0,0,19,2022-11-04,2022-11-18,6,6,1,Telegram human account; Discord not individually inventoried,,
718,Johny Boy,@Johnyboy786,19,,0,0,0,0,19,2024-07-29,2024-08-15,2,2,1,Telegram human account; Discord not individually inventoried,,
719,Josem,@jjosem224,19,,0,0,0,0,19,2024-09-16,2025-02-14,8,8,2,Telegram human account; Discord not individually inventoried,,
720,Julian (GMT + 7),@JWUS99,19,,0,0,0,0,19,2022-04-05,2022-04-05,1,1,1,Telegram human account; Discord not individually inventoried,,
721,Lubomir | KOL Management,@Lubomir16,19,,0,0,0,0,19,2021-08-27,2021-08-27,1,1,1,Telegram human account; Discord not individually inventoried,,
722,MA,@MYZ1360,19,,0,0,0,0,19,2021-11-14,2021-11-20,3,3,1,Telegram human account; Discord not individually inventoried,,
723,Manu Sh,@huracaniki,19,,0,0,0,0,19,2023-12-01,2023-12-01,1,1,1,Telegram human account; Discord not individually inventoried,,
724,moh,@mohammed21081991,19,,0,0,0,0,19,2024-01-18,2024-03-27,3,3,1,Telegram human account; Discord not individually inventoried,,
725,Mohamadzadeh,,19,,0,0,0,0,19,2021-08-30,2021-08-30,1,1,1,Telegram human account; Discord not individually inventoried,,
726,Pascal.®️,@Pascalll,19,,0,0,0,0,19,2023-06-05,2023-06-19,7,7,2,Telegram human account; Discord not individually inventoried,,
727,Ramin,@Coconana66,19,,0,0,0,0,19,2022-10-25,2022-11-07,4,4,1,Telegram human account; Discord not individually inventoried,,
728,Robert,@Kinggamero,19,,0,0,0,0,19,2022-11-09,2026-07-02,17,17,5,Telegram human account; Discord not individually inventoried,,
729,SinalauBakas,@sbakas,19,,0,0,0,0,19,2020-11-17,2020-11-19,3,3,1,Telegram human account; Discord not individually inventoried,,
730,Sordisol,@Sordisol,19,,0,0,0,0,19,2024-02-22,2024-04-14,8,8,1,Telegram human account; Discord not individually inventoried,,
731,Soyunasantacruz,@soyunasantacruz,19,,0,0,0,0,19,2020-12-03,2021-01-15,3,3,1,Telegram human account; Discord not individually inventoried,,
732,Wilkynson,@Wilkynson,19,,0,0,0,0,19,2021-03-24,2021-03-28,2,2,1,Telegram human account; Discord not individually inventoried,,
733,xxx,@MadsOnTelegram,19,,0,0,0,0,19,2023-11-21,2024-01-04,5,5,2,Telegram human account; Discord not individually inventoried,,
734,فقط خدا,@mujthecoder,19,,0,0,0,0,19,2022-12-04,2022-12-16,4,4,1,Telegram human account; Discord not individually inventoried,,
735,''''М.ZКЇ.Н.иjd'',@ZKI55,18,,0,0,0,0,18,2021-08-16,2021-08-16,1,1,1,Telegram human account; Discord not individually inventoried,,
736,A,@Za150160,18,,0,0,0,0,18,2021-11-10,2022-11-05,8,8,2,Telegram human account; Discord not individually inventoried,,
737,Ato,,18,,0,0,0,0,18,2024-06-07,2024-06-25,2,2,1,Telegram human account; Discord not individually inventoried,,
738,B B,@Ibby_1,18,,0,0,0,0,18,2023-12-28,2023-12-28,1,1,1,Telegram human account; Discord not individually inventoried,,
739,Barroso,@abarroso7,18,,0,0,0,0,18,2021-12-19,2025-01-31,12,12,2,Telegram human account; Discord not individually inventoried,,
740,Bei,@bei64,18,,0,0,0,0,18,2023-08-02,2023-08-04,3,3,1,Telegram human account; Discord not individually inventoried,,
741,Berna,,18,,0,0,0,0,18,2021-02-25,2024-05-09,8,8,1,Telegram human account; Discord not individually inventoried,,
742,crownade.eth,@emm_jayy,18,,0,0,0,0,18,2025-02-09,2025-02-11,3,3,1,Telegram human account; Discord not individually inventoried,,
743,Donny (Crash out arc),@disciplineDon,18,,0,0,0,0,18,2023-04-02,2023-04-02,1,1,1,Telegram human account; Discord not individually inventoried,,
744,Farhad,@farhad_hashmii,18,,0,0,0,0,18,2022-11-07,2022-11-07,1,1,1,Telegram human account; Discord not individually inventoried,,
745,Green 🦾,@Aircatchdroper,18,,0,0,0,0,18,2022-11-04,2022-11-06,3,3,1,Telegram human account; Discord not individually inventoried,,
746,Hgtp://Bear Jew² (Will never DM you first),@BearJew11,18,,0,0,0,0,18,2024-02-25,2026-04-15,4,4,1,Telegram human account; Discord not individually inventoried,,
747,Jack,@TRR369147,18,,0,0,0,0,18,2023-11-30,2023-12-02,3,3,2,Telegram human account; Discord not individually inventoried,,
748,Jakeronthia,@Jakeronthia,18,,0,0,0,0,18,2023-05-29,2023-06-13,7,7,1,Telegram human account; Discord not individually inventoried,,
749,James Correy,@jamescorrey,18,,0,0,0,0,18,2021-02-20,2021-06-07,10,10,1,Telegram human account; Discord not individually inventoried,,
750,Johanna,@msmsmod,18,,0,0,0,0,18,2023-11-22,2023-11-22,1,1,1,Telegram human account; Discord not individually inventoried,,
751,Kevin,@Kev325,18,,0,0,0,0,18,2021-01-19,2021-01-19,1,1,1,Telegram human account; Discord not individually inventoried,,
752,L-Doi,@Leonte1111,18,,0,0,0,0,18,2023-11-10,2023-11-14,4,4,1,Telegram human account; Discord not individually inventoried,,
753,Matteo Rossi,@Matteo_Rossi,18,,0,0,0,0,18,2023-04-28,2023-05-17,3,3,2,Telegram human account; Discord not individually inventoried,,
754,Mighty Eagle,@EagleMighty,18,,0,0,0,0,18,2021-11-13,2021-11-13,1,1,1,Telegram human account; Discord not individually inventoried,,
755,R.J,@rikas8,18,,0,0,0,0,18,2023-04-09,2023-06-29,3,3,1,Telegram human account; Discord not individually inventoried,,
756,RAICO,@raicoglez,18,,0,0,0,0,18,2022-11-05,2023-07-29,4,4,3,Telegram human account; Discord not individually inventoried,,
757,Rami,@OrginalUsername,18,,0,0,0,0,18,2021-04-21,2022-07-01,11,11,1,Telegram human account; Discord not individually inventoried,,
758,Richard Bot,@instabotje,18,,0,0,0,0,18,2023-06-09,2024-04-07,11,11,1,Telegram human account; Discord not individually inventoried,,
759,Rowan,@zydryck21,18,,0,0,0,0,18,2021-11-14,2021-11-21,2,2,2,Telegram human account; Discord not individually inventoried,,
760,shaw —,@shaw859504,18,,0,0,0,0,18,2023-05-16,2023-11-18,3,3,3,Telegram human account; Discord not individually inventoried,,
761,Sssss,@Devlp9,18,,0,0,0,0,18,2025-08-03,2025-11-28,7,7,1,Telegram human account; Discord not individually inventoried,,
762,Tadhg Cartwright,@timmyjoans,18,,0,0,0,0,18,2024-01-13,2024-02-20,3,3,1,Telegram human account; Discord not individually inventoried,,
763,_,@L009121,17,,0,0,0,0,17,2023-08-10,2024-07-18,4,4,1,Telegram human account; Discord not individually inventoried,,
764,A Mk2,@appolinaire_medewou,17,,0,0,0,0,17,2022-10-31,2022-10-31,1,1,1,Telegram human account; Discord not individually inventoried,,
765,Abdullah,@Abdullah890447,17,,0,0,0,0,17,2023-04-09,2023-04-11,3,3,2,Telegram human account; Discord not individually inventoried,,
766,CryptoReviewing,@CryptoReviewing_TG,17,,0,0,0,0,17,2023-04-17,2024-09-12,6,6,1,Telegram human account; Discord not individually inventoried,,
767,Engineer,@Fintech387,17,,0,0,0,0,17,2021-11-02,2024-11-29,5,5,2,Telegram human account; Discord not individually inventoried,,
768,Gkcfub,@Hsgsga1,17,,0,0,0,0,17,2020-11-18,2021-11-14,9,9,1,Telegram human account; Discord not individually inventoried,,
769,Gordon Tracy,@GordonTracy,17,,0,0,0,0,17,2024-06-07,2024-07-01,5,5,1,Telegram human account; Discord not individually inventoried,,
770,Gsr,@gs_1984,17,,0,0,0,0,17,2021-11-19,2022-11-09,5,5,2,Telegram human account; Discord not individually inventoried,,
771,Jack Sparrow,@JojoSparrow,17,,0,0,0,0,17,2024-05-01,2024-08-05,8,8,2,Telegram human account; Discord not individually inventoried,,
772,Koen,@koenrr,17,,0,0,0,0,17,2024-01-11,2024-12-09,7,7,1,Telegram human account; Discord not individually inventoried,,
773,maddealer,@maddealer,17,,0,0,0,0,17,2023-11-15,2024-01-27,2,2,1,Telegram human account; Discord not individually inventoried,,
774,Nitin Nahar,@nitinnahar,17,,0,0,0,0,17,2022-10-23,2023-11-25,11,11,2,Telegram human account; Discord not individually inventoried,,
775,Normik,@NormikPL,17,,0,0,0,0,17,2021-11-23,2022-01-17,6,6,2,Telegram human account; Discord not individually inventoried,,
776,Pistis,@cgwangpistis,17,,0,0,0,0,17,2023-09-13,2023-09-13,1,1,1,Telegram human account; Discord not individually inventoried,,
777,Radoslav Štefančík,@stefancik,17,,0,0,0,0,17,2023-04-30,2023-05-06,5,5,1,Telegram human account; Discord not individually inventoried,,
778,Scott,@mscott7130,17,,0,0,0,0,17,2024-05-07,2024-05-08,2,2,1,Telegram human account; Discord not individually inventoried,,
779,the Champ holder,@batchdenbitcoinlaus,17,,0,0,0,0,17,2021-08-18,2021-08-27,2,2,1,Telegram human account; Discord not individually inventoried,,
780,Trader Toyo!,@tradertoyo,17,,0,0,0,0,17,2025-02-03,2025-02-04,2,2,1,Telegram human account; Discord not individually inventoried,,
781,Woot woot,@Crypto_woot,17,,0,0,0,0,17,2024-08-23,2024-08-29,2,2,2,Telegram human account; Discord not individually inventoried,,
782,Ximuel,@Ximuel,17,,0,0,0,0,17,2023-02-14,2024-10-01,5,5,1,Telegram human account; Discord not individually inventoried,,
783,阿 兰,@johnsonney0101,17,,0,0,0,0,17,2023-11-21,2023-11-25,5,5,1,Telegram human account; Discord not individually inventoried,,
784,阿北,@alephiumchina,17,,0,0,0,0,17,2023-04-16,2023-04-25,7,7,1,Telegram human account; Discord not individually inventoried,,
785,🧿DANIYEL🇮🇷FARADEY🇱🇷‌(دانیل فارادی)🇷🇺 (Даниел Фатадей)🧿,@DANIYELFARADEY,17,,0,0,0,0,17,2021-11-04,2023-01-12,4,4,1,Telegram human account; Discord not individually inventoried,,
786,Aiden _BitMart,@Aiden_Listing,16,,0,0,0,0,16,2024-11-19,2025-01-08,14,14,1,Telegram human account; Discord not individually inventoried,,
787,Alberto,@Coyote_cojo,16,,0,0,0,0,16,2024-02-21,2024-02-21,1,1,1,Telegram human account; Discord not individually inventoried,,
788,Artoxar,@Artoxar,16,,0,0,0,0,16,2022-12-04,2022-12-11,3,3,1,Telegram human account; Discord not individually inventoried,,
789,Augustine Billtino,@Billtino,16,,0,0,0,0,16,2021-11-21,2022-12-15,10,10,1,Telegram human account; Discord not individually inventoried,,
790,Bahman Ya.kh.Ghi,@B_k_M_13,16,,0,0,0,0,16,2022-05-01,2025-07-06,10,10,1,Telegram human account; Discord not individually inventoried,,
791,CMG Longmonie,@longmonie,16,,0,0,0,0,16,2024-02-02,2024-02-02,1,1,1,Telegram human account; Discord not individually inventoried,,
792,CoNtOuR,@Sneak1278,16,,0,0,0,0,16,2024-02-12,2024-02-12,1,1,1,Telegram human account; Discord not individually inventoried,,
793,crypto_with_seb,@crypto_with_seb91,16,,0,0,0,0,16,2023-01-29,2023-01-29,1,1,1,Telegram human account; Discord not individually inventoried,,
794,Danil,@danil_v,16,,0,0,0,0,16,2021-01-20,2023-07-10,7,7,1,Telegram human account; Discord not individually inventoried,,
795,Engin,@doctorengin,16,,0,0,0,0,16,2023-04-09,2023-12-23,2,2,1,Telegram human account; Discord not individually inventoried,,
796,F,@faisaal10,16,,0,0,0,0,16,2021-03-09,2021-03-12,2,2,1,Telegram human account; Discord not individually inventoried,,
797,GB,,16,,0,0,0,0,16,2021-12-19,2023-01-03,3,3,1,Telegram human account; Discord not individually inventoried,,
798,Jeery,@JeeryStef,16,,0,0,0,0,16,2024-09-24,2026-03-29,6,6,3,Telegram human account; Discord not individually inventoried,,
799,Kien Chi Phung,@Pck123,16,,0,0,0,0,16,2021-03-08,2021-06-03,4,4,1,Telegram human account; Discord not individually inventoried,,
800,Konstantin Klurfeld,@russianwarrior12,16,,0,0,0,0,16,2022-07-14,2022-07-14,1,1,1,Telegram human account; Discord not individually inventoried,,
801,Lenin,@DmitriyevichLenin,16,,0,0,0,0,16,2024-01-21,2024-01-22,2,2,1,Telegram human account; Discord not individually inventoried,,
802,Leo,@prismatichands,16,,0,0,0,0,16,2023-05-08,2023-05-20,2,2,2,Telegram human account; Discord not individually inventoried,,
803,Makis▪️ Rafto,@makishart,16,,0,0,0,0,16,2021-12-29,2023-06-12,4,4,1,Telegram human account; Discord not individually inventoried,,
804,mars prince,@marsprince,16,,0,0,0,0,16,2023-01-15,2023-02-24,4,4,1,Telegram human account; Discord not individually inventoried,,
805,maximal k-cluster,@spacetimed,16,,0,0,0,0,16,2023-04-03,2023-04-03,1,1,1,Telegram human account; Discord not individually inventoried,,
806,MEHDI,@Xnouro,16,,0,0,0,0,16,2022-02-07,2022-04-05,5,5,1,Telegram human account; Discord not individually inventoried,,
807,Northern Whale,@Whalee,16,,0,0,0,0,16,2024-12-06,2024-12-06,1,1,1,Telegram human account; Discord not individually inventoried,,
808,r,@n0ottt,16,,0,0,0,0,16,2023-12-14,2023-12-25,4,4,1,Telegram human account; Discord not individually inventoried,,
809,Rawrd,@Raawrdx,16,,0,0,0,0,16,2025-01-31,2025-02-02,3,3,1,Telegram human account; Discord not individually inventoried,,
810,Sahierr,,16,,0,0,0,0,16,2024-03-06,2024-03-11,2,2,2,Telegram human account; Discord not individually inventoried,,
811,Trust Pulser,@Trustpulser,16,,0,0,0,0,16,2024-07-19,2024-07-19,1,1,1,Telegram human account; Discord not individually inventoried,,
812,Valentin,@valzv,16,,0,0,0,0,16,2021-10-28,2022-07-31,3,3,1,Telegram human account; Discord not individually inventoried,,
813,ıllıllı Ali poya ıllıllı,@poya786,16,,0,0,0,0,16,2023-11-27,2025-07-16,3,3,1,Telegram human account; Discord not individually inventoried,,
814,Aa Bb,,15,,0,0,0,0,15,2024-12-03,2025-05-30,6,6,1,Telegram human account; Discord not individually inventoried,,
815,Adem Father,@AdemFather,15,,0,0,0,0,15,2023-11-23,2023-12-08,6,6,3,Telegram human account; Discord not individually inventoried,,
816,Ali GÜRSOY,@Ali_GURSOY,15,,0,0,0,0,15,2023-11-22,2026-03-11,4,4,1,Telegram human account; Discord not individually inventoried,,
817,Allago anche Crypto,@aIIago,15,,0,0,0,0,15,2023-12-11,2023-12-11,1,1,1,Telegram human account; Discord not individually inventoried,,
818,ALPALP0634,@ALPALP0634,15,,0,0,0,0,15,2023-07-13,2023-07-13,1,1,1,Telegram human account; Discord not individually inventoried,,
819,Arthera,@Babau0472,15,,0,0,0,0,15,2023-11-21,2023-11-22,2,2,1,Telegram human account; Discord not individually inventoried,,
820,Auren Calrithen GodFrey'S,@Auren60S,15,,0,0,0,0,15,2026-04-19,2026-04-21,2,2,1,Telegram human account; Discord not individually inventoried,,
821,Chelsea Act,@Chelseactt,15,,0,0,0,0,15,2025-02-15,2025-02-18,4,4,1,Telegram human account; Discord not individually inventoried,,
822,Cripto Lord,@Makemoneynotfollower,15,,0,0,0,0,15,2021-11-17,2023-12-13,3,3,1,Telegram human account; Discord not individually inventoried,,
823,Cryptico ⛩️,@CrypticoOG,15,,0,0,0,0,15,2023-05-04,2023-05-04,1,1,1,Telegram human account; Discord not individually inventoried,,
824,Crypto Ser,@cryptoserdog,15,,0,0,0,0,15,2021-11-06,2021-11-06,1,1,1,Telegram human account; Discord not individually inventoried,,
825,D K,@Dengkuan,15,,0,0,0,0,15,2024-11-22,2026-03-09,10,10,1,Telegram human account; Discord not individually inventoried,,
826,Giuliano Rosa,@Diogiulo75,15,,0,0,0,0,15,2023-03-03,2024-05-03,5,5,1,Telegram human account; Discord not individually inventoried,,
827,Hitokiri.Battosai,@ReignOfBrothers,15,,0,0,0,0,15,2023-03-11,2023-06-05,2,2,1,Telegram human account; Discord not individually inventoried,,
828,Icarus,@AlphaPsA,15,,0,0,0,0,15,2024-05-13,2024-09-07,6,6,1,Telegram human account; Discord not individually inventoried,,
829,Ima,@Ne01982,15,,0,0,0,0,15,2021-11-17,2023-12-30,6,6,2,Telegram human account; Discord not individually inventoried,,
830,MeDuckDuck,@MeDuckDuck,15,,0,0,0,0,15,2025-11-19,2026-07-10,5,5,2,Telegram human account; Discord not individually inventoried,,
831,Mohammad,@M_M_1968,15,,0,0,0,0,15,2023-01-20,2024-12-14,4,4,1,Telegram human account; Discord not individually inventoried,,
832,Mohammad,@M_Ehyaei,15,,0,0,0,0,15,2021-11-20,2022-12-15,2,2,2,Telegram human account; Discord not individually inventoried,,
833,ogu 🐺,@ogu_mogu,15,,0,0,0,0,15,2024-03-06,2024-04-15,5,5,1,Telegram human account; Discord not individually inventoried,,
834,Phil,,15,,0,0,0,0,15,2022-11-09,2023-11-28,10,10,2,Telegram human account; Discord not individually inventoried,,
835,SI lord,@Rot007,15,,0,0,0,0,15,2024-05-24,2025-09-12,13,13,3,Telegram human account; Discord not individually inventoried,,
836,Silver Fox,@iamnew00,15,,0,0,0,0,15,2023-02-17,2023-02-17,1,1,1,Telegram human account; Discord not individually inventoried,,
837,Sodium Web3,@Web3hub22,15,,0,0,0,0,15,2025-02-27,2025-02-28,2,2,1,Telegram human account; Discord not individually inventoried,,
838,srbitmap.sats,@Srbitmap,15,,0,0,0,0,15,2021-11-07,2021-11-08,2,2,2,Telegram human account; Discord not individually inventoried,,
839,T Bone,@tbone647,15,,0,0,0,0,15,2022-02-05,2023-01-13,4,4,2,Telegram human account; Discord not individually inventoried,,
840,Thai Number,@logan_1984,15,,0,0,0,0,15,2024-07-28,2024-08-23,2,2,1,Telegram human account; Discord not individually inventoried,,
841,Tiburon,,15,,0,0,0,0,15,2021-12-23,2024-12-06,10,10,2,Telegram human account; Discord not individually inventoried,,
842,Tyler,@W3b3Wizard,15,,0,0,0,0,15,2021-11-29,2021-11-29,1,1,1,Telegram human account; Discord not individually inventoried,,
843,ר,@MrTempor,15,,0,0,0,0,15,2023-05-02,2023-05-07,2,2,1,Telegram human account; Discord not individually inventoried,,
844,青 野,,15,,0,0,0,0,15,2023-11-22,2024-01-05,5,5,1,Telegram human account; Discord not individually inventoried,,
845,🧕,@Asriifatima,15,,0,0,0,0,15,2025-07-08,2025-07-23,11,11,1,Telegram human account; Discord not individually inventoried,,
846,18143 Mateth,,14,,0,0,0,0,14,2024-01-11,2024-05-05,5,5,1,Telegram human account; Discord not individually inventoried,,
847,A J,@hello_world98AJ,14,,0,0,0,0,14,2022-11-11,2022-12-22,2,2,2,Telegram human account; Discord not individually inventoried,,
848,aarenzana,@aarenzana,14,,0,0,0,0,14,2023-01-04,2023-01-05,2,2,2,Telegram human account; Discord not individually inventoried,,
849,Ahmad🐦 SUI🐾,@Roque280,14,,0,0,0,0,14,2022-12-14,2022-12-15,2,2,2,Telegram human account; Discord not individually inventoried,,
850,Andrew Mercer,@MercerAndrew,14,,0,0,0,0,14,2022-10-23,2022-10-23,1,1,1,Telegram human account; Discord not individually inventoried,,
851,Apple,,14,,0,0,0,0,14,2023-11-11,2024-11-04,5,5,2,Telegram human account; Discord not individually inventoried,,
852,Asenat Edwards,@Asenatlisting,14,,0,0,0,0,14,2023-10-15,2023-10-15,1,1,1,Telegram human account; Discord not individually inventoried,,
853,BANTU PRO,@bantuproo,14,,0,0,0,0,14,2024-12-08,2025-05-12,8,8,1,Telegram human account; Discord not individually inventoried,,
854,blue ginger,@Rainbowginger,14,,0,0,0,0,14,2021-11-16,2023-07-30,5,5,1,Telegram human account; Discord not individually inventoried,,
855,Bstar,@mastercoin77,14,,0,0,0,0,14,2023-11-22,2023-11-23,2,2,2,Telegram human account; Discord not individually inventoried,,
856,Dameem Darwan,@Dameem,14,,0,0,0,0,14,2021-11-07,2021-11-07,1,1,1,Telegram human account; Discord not individually inventoried,,
857,Farhan,@paan055,14,,0,0,0,0,14,2023-04-17,2024-10-24,6,6,1,Telegram human account; Discord not individually inventoried,,
858,ghasem khani,@gasemkhny,14,,0,0,0,0,14,2021-11-06,2021-11-07,2,2,1,Telegram human account; Discord not individually inventoried,,
859,Huber,,14,,0,0,0,0,14,2023-12-15,2025-01-06,2,2,1,Telegram human account; Discord not individually inventoried,,
860,Isochronic Hog,@IsochronicHog,14,,0,0,0,0,14,2023-04-01,2024-12-04,3,3,1,Telegram human account; Discord not individually inventoried,,
861,Ivan HS,@Ivan_HS,14,,0,0,0,0,14,2022-11-08,2022-12-15,3,3,1,Telegram human account; Discord not individually inventoried,,
862,Jacob Bury,@jacob_bury,14,,0,0,0,0,14,2021-07-05,2021-07-05,1,1,1,Telegram human account; Discord not individually inventoried,,
863,JareBear,@JareBere,14,,0,0,0,0,14,2023-01-25,2023-08-10,3,3,1,Telegram human account; Discord not individually inventoried,,
